post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Bellamy Organics Pinkies Apple Strawberry And Mango,bellamy-organics-pinkies-apple-strawberry-and-mango,157,,,publish,0,8/13/2016 21:54:12,1,open,CWH72142,no,no,,3.99,20.00%,4.79,10.00%,4.31,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH72142.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Aptamil Profutura Follow On Formula 6-12 months,aptamil-profutura-follow-on-formula-6-12-months,158,,,publish,0,8/13/2016 21:54:12,1,open,CWH73140,no,no,,29.69,20.00%,35.63,10.00%,32.07,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH73140.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Aptamil Profutura Infant Formula 0-6 months,aptamil-profutura-infant-formula-0-6-months,159,,,publish,0,8/13/2016 21:54:12,1,open,CWH73141,no,no,,29.69,20.00%,35.63,10.00%,32.07,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH73141.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Bellamy's Organics Banana Pear & Mango,bellamys-organics-banana-pear-mango,160,,,publish,0,8/13/2016 21:54:12,1,open,CWH76093,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH76093.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organics Pumpkin Apple & Sweet Corn,bellamys-organics-pumpkin-apple-sweet-corn,161,,,publish,0,8/13/2016 21:54:12,1,open,CWH76094,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH76094.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organics Sweet Potato Carrot & Apple,bellamys-organics-sweet-potato-carrot-apple,162,,,publish,0,8/13/2016 21:54:12,1,open,CWH76095,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH76095.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Aptamil Profutura Junior Nutritional Supplement,aptamil-profutura-junior-nutritional-supplement,163,,,publish,0,8/13/2016 21:54:12,1,open,CWH76992,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH76992.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
S26 Gold Newborn Step 1 Formula,s26-gold-newborn-step-1-formula,164,,,publish,0,8/13/2016 21:54:12,1,open,CWH77676,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77676.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Gold Progress,s26-gold-progress,165,,,publish,0,8/13/2016 21:54:12,1,open,CWH77677,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77677.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Gold Toddler,s26-gold-toddler,166,,,publish,0,8/13/2016 21:54:12,1,open,CWH77678,no,no,,19.69,20.00%,23.63,10.00%,21.27,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77678.jpg,,simple,Baby Products > Baby Formula,,,S26
